,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
10,Fox News,"World Cup 2018 teams to watch, from Germany to Iceland https://t.co/NCtJAZM7m0",Tue Jun 12 20:07:49 +0000 2018,0.0,0.0,1.0,0.0
11,Fox News,"JUST IN: Rosenstein threatened to 'subpoena' GOP-led committee in 'chilling' clash over records, emails show https://t.co/6ZgIvOz96A",Tue Jun 12 19:44:14 +0000 2018,-0.4588,0.0,0.833,0.167
12,Fox News,"Former Gov. Bill Richardson: ""[Kim Jong Un's] nation wants an opportunity, like all people, to get out of the doldr… https://t.co/FdhI0Bi3U8",Tue Jun 12 19:41:11 +0000 2018,0.6486,0.218,0.782,0.0
13,Fox News,".@POTUS: “We got a lot more done today than I ever thought possible.”

President @realDonaldTrump talks to… https://t.co/TNvgMrAMG5",Tue Jun 12 19:39:00 +0000 2018,0.0,0.0,1.0,0.0
14,Fox News,"Former Gov. Bill Richardson on #TrumpKimSummit: ""@SecPompeo needs to move in real quick...Seize on that momentum to… https://t.co/QBTye2OMGq",Tue Jun 12 19:36:27 +0000 2018,0.0,0.0,1.0,0.0
15,Fox News,"Former Gov. Bill Richardson on #TrumpKimSummit: ""I've been involved with this issue a long time and it's always bee… https://t.co/Mf8MaAkblN",Tue Jun 12 19:29:43 +0000 2018,0.0,0.0,1.0,0.0
16,Fox News,.@jasoninthehouse: @TheJusticeDept Will Hold Docs on @FBI Informant Until Congress 'Gets a Backbone'  #OutnumberedOT https://t.co/VOEF2E99JH,Tue Jun 12 19:21:41 +0000 2018,0.0,0.0,1.0,0.0
17,Fox News,Parents of Otto Warmbier are hopeful 'something positive' can come from Trump-Kim summit https://t.co/woY4mdgEPO https://t.co/GvBsVXTHpS,Tue Jun 12 19:14:48 +0000 2018,0.7845,0.347,0.653,0.0
18,Fox News,OPINION: Trump meets Kim and sets the stage for fundamental change in Asia -– Here's what his critics missed https://t.co/1z2EuJWFHI,Tue Jun 12 19:05:27 +0000 2018,-0.5267,0.0,0.804,0.196
19,Fox News,Eurosatory 2018: Huge wheeled military ATV swims and surprises https://t.co/25707QhaBi,Tue Jun 12 18:56:23 +0000 2018,0.4939,0.344,0.656,0.0
20,CNN,BREAKING: A federal judge has ruled that AT&amp;T can move forward with its $85 billion acquisition of Time Warner… https://t.co/Y1ZMi6UQBr,Tue Jun 12 20:54:11 +0000 2018,0.0,0.0,1.0,0.0
21,CNN,The FBI agent who unintentionally shot someone while dancing in a Denver bar has turned himself in to police and is… https://t.co/1qmOsYK2PV,Tue Jun 12 20:50:09 +0000 2018,0.0,0.0,1.0,0.0
22,CNN,"Bringing tamales and a whole team of volunteers, renowned chef José Andrés traveled to Guatemala four days after th… https://t.co/jrrtekHeZt",Tue Jun 12 20:40:06 +0000 2018,0.0,0.0,1.0,0.0
23,CNN,"RT @TheLeadCNN: Sen. Bob Menendez says Trump achieved ""very little"" at the summit: ""What we needed, and what we still need, is a methodical…",Tue Jun 12 20:38:34 +0000 2018,0.0,0.0,1.0,0.0
24,CNN,"A grandma irons her granddaughter's Pride flag, and the internet swoons https://t.co/FnX5jqmkjv https://t.co/X9vxweRg0x",Tue Jun 12 20:32:06 +0000 2018,0.34,0.179,0.821,0.0
25,CNN,"Canada's House of Commons voted to send a symbolic message to the United States, standing against President Donald… https://t.co/C3mbjRi6bT",Tue Jun 12 20:25:05 +0000 2018,0.4215,0.141,0.859,0.0
26,CNN,The case of the curiously compelling Dennis Rodman-Chris Cuomo interview | Analysis by @CillizzaCNN… https://t.co/iLLXlwPi8q,Tue Jun 12 20:18:04 +0000 2018,0.2263,0.128,0.872,0.0
27,CNN,"Folk singer Joni Mitchell wrote the song ""River"" while sitting by the South Saskatoon River in Canada. Now, a walkw… https://t.co/BPIsxnC9Jp",Tue Jun 12 20:15:00 +0000 2018,0.0,0.0,1.0,0.0
28,CNN,The French photographer at the center of a sexual harassment scandal that forced the postponement of this year's No… https://t.co/GabRGo0Yn5,Tue Jun 12 20:10:07 +0000 2018,-0.8555,0.0,0.63,0.37
29,CNN,Netflix is now worth more than Disney. It’s valued at around $160 billion. https://t.co/xm78Az7kwW https://t.co/ZR4YrQaGcc,Tue Jun 12 20:05:00 +0000 2018,0.5859,0.27,0.73,0.0
30,CNN,"Seattle's controversial new ""Amazon tax"" on employers passed just a month ago, but it could be repealed this week… https://t.co/wI56S9OwUP",Tue Jun 12 20:00:14 +0000 2018,-0.0129,0.068,0.861,0.071
31,CNN,"After his expletive-laden rant about President Trump, Robert De Niro apologizes - to Canadians… https://t.co/Zy5hXioA6v",Tue Jun 12 19:52:06 +0000 2018,0.0258,0.148,0.71,0.142
32,CNN,"RT @CNNnewsroom: At the end of his meeting with Kim Jong Un, President Trump ""pats him on the back and guides him out ... establishing domi…",Tue Jun 12 19:47:03 +0000 2018,0.0,0.0,1.0,0.0
33,CNN,A Florida police chief is accused of framing four crimes on a teen so he could claim a 100% burglary clearance rate… https://t.co/zmZDDkVeyj,Tue Jun 12 19:46:47 +0000 2018,-0.296,0.0,0.896,0.104
34,CNN,"RT @CNNnewsroom: ""The key question now is the details. What exactly is the president talking about? Will all training exercises (so called…",Tue Jun 12 19:44:48 +0000 2018,0.0,0.0,1.0,0.0
35,CNN,"It's been two years since their son and 48 others were killed in the Pulse massacre, but for Maria and Fred Wright,… https://t.co/lSa9A6yEdg",Tue Jun 12 19:40:08 +0000 2018,-0.4118,0.0,0.889,0.111
36,CNN,"Before celebrating a game-winning strikeout that led his team to the state tournament, this high school baseball pi… https://t.co/UppDKtVwx1",Tue Jun 12 19:35:00 +0000 2018,0.5719,0.179,0.821,0.0
37,CNN,"RT @CNNnewsroom: Had President Obama met with Kim Jong Un, the way President Trump just did, how might Republicans have reacted? @BrookeBCN…",Tue Jun 12 19:33:10 +0000 2018,0.0,0.0,1.0,0.0
38,CNN,"Emmy Reeves had Type 1 diabetes, but she was allergic to the insulin she needed to stay alive. She recently underwe… https://t.co/URo9Jf5m77",Tue Jun 12 19:30:19 +0000 2018,0.1531,0.135,0.754,0.111
39,CNN,Country Time Lemonade is creating a team to help pay fines and permits for kids who want to run their own lemonade… https://t.co/WLDWF9FGto,Tue Jun 12 19:20:08 +0000 2018,0.5859,0.242,0.703,0.055
40,BBC News (World),Ireland to hold referendum on blasphemy law https://t.co/lx3bradLO8,Tue Jun 12 20:57:08 +0000 2018,0.0,0.0,1.0,0.0
41,BBC News (World),Judge clears AT&amp;T takeover of Time Warner https://t.co/Kw998VdGqi,Tue Jun 12 20:54:54 +0000 2018,0.0772,0.157,0.843,0.0
42,BBC News (World),Ivanka Trump accused of tweeting 'fake' Chinese proverb https://t.co/39Z31sXVO8,Tue Jun 12 20:54:54 +0000 2018,-0.296,0.0,0.784,0.216
43,BBC News (World),Do you have any burning questions about the #TrumpKimSummit? Tweet @BBCJonSopel using #BBCNewsTen https://t.co/IXpvcrNsbw,Tue Jun 12 20:52:58 +0000 2018,0.0,0.0,1.0,0.0
44,BBC News (World),"Any questions about the historic #TrumpKimSummit? @BBCJonSopel will answer your queries, use #BBCNewsTen https://t.co/fXxKJJJTUx",Tue Jun 12 20:20:41 +0000 2018,0.0,0.0,1.0,0.0
45,BBC News (World),World Cup: Nike boots barred for Iran footballers amid US sanctions https://t.co/cnNKTulFAF,Tue Jun 12 18:37:34 +0000 2018,0.0,0.0,1.0,0.0
46,BBC News (World),Jean-Pierre Bemba: ICC orders release of Congo 'warlord' https://t.co/8fAf1Mkm1D,Tue Jun 12 18:05:58 +0000 2018,0.0,0.0,1.0,0.0
47,BBC News (World),Macedonia and Greece: Deal after 27-year row over a name https://t.co/qmDaY4mMAb,Tue Jun 12 16:55:28 +0000 2018,0.0,0.0,1.0,0.0
48,BBC News (World),Navarro sorry for 'special place in hell'' for Trudeau remark https://t.co/gyn2mkLhZ6,Tue Jun 12 16:53:14 +0000 2018,0.34,0.208,0.692,0.1
49,BBC News (World),Spanish football league defends phone 'spying' https://t.co/J21rBPWZJZ,Tue Jun 12 16:20:12 +0000 2018,0.0,0.0,1.0,0.0
50,BBC News (World),"RT @BBCNews: A win-win or a Kim win? #TrumpKimSummit 

https://t.co/LS8uCH3v7j https://t.co/4g7DVT8O37",Tue Jun 12 16:08:12 +0000 2018,0.5859,0.322,0.678,0.0
51,BBC News (World),"""Boy look at that view. Wouldn't that make a great condo?""

From Trump's coastline compliment to Kim Jong-un's 'pen… https://t.co/wvoi9dlPQK",Tue Jun 12 15:50:24 +0000 2018,-0.05,0.133,0.727,0.141
52,BBC News (World),Ten handshakes that shook the world https://t.co/UWGxXPMzKW,Tue Jun 12 15:42:33 +0000 2018,-0.1027,0.0,0.811,0.189
53,BBC News (World),Vase found in shoebox sells for 16m euros https://t.co/xLOrzWbJFN,Tue Jun 12 15:14:31 +0000 2018,0.0,0.0,1.0,0.0
54,BBC News (World),RT @BBCMonitoring: North Koreans have not yet seen any TV news reports of the historic meeting between leader Kim Jong-un and President Tru…,Tue Jun 12 15:08:54 +0000 2018,0.0,0.0,1.0,0.0
55,BBC News (World),Win-win or a Kim win? https://t.co/HUTGpeHpQU,Tue Jun 12 14:26:33 +0000 2018,0.5859,0.487,0.513,0.0
56,BBC News (World),"Jean-Claude Arnault, photographer in Nobel prize scandal, charged with rape https://t.co/BpgMIp4wdt",Tue Jun 12 14:21:25 +0000 2018,-0.7269,0.168,0.355,0.477
57,BBC News (World),"People who have had strokes are learning to cook for themselves again, thanks to this one-handed cookbook… https://t.co/9EC2Cnggpr",Tue Jun 12 13:51:00 +0000 2018,0.4404,0.146,0.854,0.0
58,BBC News (World),Trump Kim summit: Five odd moments from the day https://t.co/Iv6cf56hLw,Tue Jun 12 13:27:02 +0000 2018,-0.3182,0.0,0.796,0.204
59,BBC News (World),Kim Trump summit: North Korea state TV not airing summit news https://t.co/7PpE3BGqHB,Tue Jun 12 13:24:35 +0000 2018,0.0,0.0,1.0,0.0
60,CBS News,Parkland drama students surprise another New York audience: The high schoolers sang at a fundraiser for the summer… https://t.co/b2vQRcEyyA,Tue Jun 12 20:39:41 +0000 2018,0.2732,0.11,0.89,0.0
61,CBS News,The University of Southern California is being federally investigated for possibly concealing the inappropriate beh… https://t.co/ct73wH6oI9,Tue Jun 12 20:20:01 +0000 2018,0.0,0.0,1.0,0.0
62,CBS News,"George H.W. Bush celebrated his birthday Tuesday, becoming the first U.S. president to turn 94… https://t.co/t99ZqGQ2HT",Tue Jun 12 19:59:40 +0000 2018,0.5719,0.198,0.802,0.0
63,CBS News,WATCH: This high school senior with Down Syndrome stole the show by jumping across his graduation stage in exciteme… https://t.co/TLEdqJe8cy,Tue Jun 12 19:45:19 +0000 2018,0.0,0.0,1.0,0.0
64,CBS News,"Police swarmed a building in Paris on Tuesday, saying a man had taken two people hostage. The suspect has arrested,… https://t.co/x0sxCGf1Rx",Tue Jun 12 19:29:37 +0000 2018,-0.296,0.0,0.891,0.109
65,CBS News,"For the second straight year, throngs of fans are celebrating the Golden State Warriors with a parade for a team so… https://t.co/L8ccU8wTPw",Tue Jun 12 19:18:39 +0000 2018,0.6808,0.237,0.763,0.0
66,CBS News,Mitch McConnell becomes longest-serving Republican leader in history of Senate https://t.co/lxytJsyFjY https://t.co/6TCoC8ai6z,Tue Jun 12 19:14:32 +0000 2018,0.0,0.0,1.0,0.0
67,CBS News,"Domino's fixing towns' crumbling roads -- patching up potholes with its logo -- in move to ""save"" pizza… https://t.co/rwhxBNlOWx",Tue Jun 12 19:00:03 +0000 2018,0.0,0.0,1.0,0.0
68,CBS News,"U2 honors ""great storyteller"" Anthony Bourdain during concert at New York City's Apollo Theater… https://t.co/pvaDWSA8lx",Tue Jun 12 18:44:31 +0000 2018,0.8126,0.363,0.637,0.0
69,CBS News,"Virginia primary voters to pick nominees in local, federal races https://t.co/Jy4n43vlJa https://t.co/OFSUwjrWCp",Tue Jun 12 18:29:57 +0000 2018,0.0,0.0,1.0,0.0
70,CBS News,Couple stops to respectfully fold American flag after two people ripped it down and left it on the sidewalk… https://t.co/Wm6iJIMsqe,Tue Jun 12 18:19:47 +0000 2018,0.2732,0.121,0.807,0.072
71,CBS News,"Neighbors stunned after ""pleasant"" man revealed to be long-missing Air Force officer https://t.co/QhdwEYtCbE https://t.co/gyr9vOTN5T",Tue Jun 12 18:14:57 +0000 2018,-0.1027,0.0,0.903,0.097
72,CBS News,"""Dennis Rodman is probably the only one on the planet who knows both of them,"" @GayleKing says of President Trump a… https://t.co/H0CWlUt207",Tue Jun 12 18:13:31 +0000 2018,0.0,0.0,1.0,0.0
73,CBS News,11 candidates seeking to succeed firebrand Maine Gov. LePage in Tuesday's primary  https://t.co/N7laRnJnfQ https://t.co/GFJw12IpDw,Tue Jun 12 17:59:45 +0000 2018,0.4939,0.198,0.802,0.0
74,CBS News,"Hostage situation unfolding in Paris. Negotiations with the suspect were taking place, according to an Interior Min… https://t.co/UJ6tsl7nFy",Tue Jun 12 17:44:40 +0000 2018,-0.296,0.0,0.885,0.115
75,CBS News,"WATCH: The championship parade for Stanley Cup champs, the Washington Capitals, is underway https://t.co/JvnOxNMouK https://t.co/n8b0X86TCF",Tue Jun 12 17:35:03 +0000 2018,0.6908,0.305,0.695,0.0
76,CBS News,Canada’s Parliament has voted unanimously to condemn President Trump following his attacks against Prime Minister J… https://t.co/x6qlPUjr5g,Tue Jun 12 17:29:44 +0000 2018,-0.6705,0.0,0.732,0.268
77,CBS News,Extreme fire danger forces rare shutdown of national forests in West https://t.co/1rlj92zMy3 https://t.co/eu1WHem8QO,Tue Jun 12 17:14:45 +0000 2018,-0.7003,0.0,0.655,0.345
78,CBS News,"Catholic priest shot to death at altar by gunmen in Philippines, Philippines Catholic Bishops Conference says he wa… https://t.co/YlAIMYuBta",Tue Jun 12 16:59:41 +0000 2018,-0.5994,0.0,0.822,0.178
79,CBS News,"A high school pitcher was playing against his best friend in the state championship game, and instead of celebratin… https://t.co/K3dCJdQIRj",Tue Jun 12 16:45:11 +0000 2018,0.9022,0.446,0.554,0.0
80,The New York Times,Breaking News: AT&amp;T’s blockbuster $85.4 billion takeover of Time Warner was approved by a judge who ruled against t… https://t.co/th9bnYc8YV,Tue Jun 12 20:47:42 +0000 2018,0.7717,0.283,0.717,0.0
81,The New York Times,RT @nytimesbusiness: AT&amp;T and Time Warner just won a court's approval to close their $85.4 billion deal. It will create a media and telecom…,Tue Jun 12 20:43:22 +0000 2018,0.836,0.319,0.681,0.0
82,The New York Times,"RT @poniewozik: My review of ABC's ""The Last Defense,"" which applies the true-crime-doc format to question death-row convictions. https://t…",Tue Jun 12 20:31:38 +0000 2018,0.0,0.0,1.0,0.0
83,The New York Times,North Korea is one of the world’s most isolated countries. Is anyone ready to do business there? https://t.co/j3QbJdAGD3,Tue Jun 12 20:16:04 +0000 2018,-0.024,0.119,0.759,0.123
84,The New York Times,"Tesla will cut 9 percent of its work force, part of an effort to “reduce costs and become profitable,” Elon Musk sa… https://t.co/bGubFxL9Ci",Tue Jun 12 20:03:21 +0000 2018,-0.2732,0.0,0.909,0.091
85,The New York Times,RT @carlzimmer: Some CRISPR-based companies took a tumble in the stock market yesterday. I take a look at the studies that triggered the fa…,Tue Jun 12 19:50:17 +0000 2018,0.0,0.0,1.0,0.0
86,The New York Times,"In Opinion, 

""Trump’s diplomacy, however unconventional, has pierced the isolation bubble of the North Korean lead… https://t.co/8YZ14AO3n0",Tue Jun 12 19:31:07 +0000 2018,-0.4019,0.0,0.856,0.144
87,The New York Times,"Years of efforts to prevent sexual harassment of women in the fields of science, engineering and medicine have not… https://t.co/RxDpHOpaBc",Tue Jun 12 19:16:07 +0000 2018,-0.5267,0.049,0.796,0.155
88,The New York Times,North Korea made few concessions. But here’s why President Trump is still betting on his “special bond” with Kim Jo… https://t.co/Y0oIVra8H5,Tue Jun 12 19:01:03 +0000 2018,0.0,0.0,1.0,0.0
89,The New York Times,"RT @NYTNational: Republicans say they are due for a rebound in Virginia: “I have a hard time believing the Democratic spin, if their high-w…",Tue Jun 12 18:46:05 +0000 2018,-0.1027,0.0,0.938,0.062
90,The New York Times,The brother-in-law of Spain’s King will most likely go to prison for his involvement in a fraud case https://t.co/Py11FfmLCD,Tue Jun 12 18:31:04 +0000 2018,-0.7964,0.0,0.693,0.307
91,The New York Times,President Trump and North Korean leader Kim Jong-un signed a joint statement on Tuesday that opened the door to end… https://t.co/NxSG19ZZdU,Tue Jun 12 18:16:03 +0000 2018,0.0,0.0,1.0,0.0
92,The New York Times,"RT @NYTArchives: Anne Frank was born on this day in 1929. The Times published a review when her diary was translated, writing that her voic…",Tue Jun 12 18:01:04 +0000 2018,0.0,0.0,1.0,0.0
93,The New York Times,The plan to save NYC’s subway has an ambitious timeline. Is it even possible? https://t.co/km9uddzdzz,Tue Jun 12 17:46:04 +0000 2018,0.743,0.326,0.674,0.0
94,The New York Times,"Teachers in Illinois are being training to use guns, even though concealed weapons are prohibited on school campuses https://t.co/gt2bNqOPO9",Tue Jun 12 17:31:05 +0000 2018,-0.4404,0.0,0.861,0.139
95,The New York Times,RT @arappeport: Peter Navarro says he's sorry for saying there's a 'special place in hell' for Canadian PM Justin Trudeau. https://t.co/eFA…,Tue Jun 12 17:17:59 +0000 2018,-0.4939,0.105,0.664,0.23
96,The New York Times,10 simple takeaways from Trump’s summit meeting with Kim Jong-un https://t.co/vEh4ClPj5q,Tue Jun 12 17:01:05 +0000 2018,0.0,0.0,1.0,0.0
97,The New York Times,"Here’s what you need to know about the primaries in Nevada, Virginia, Maine, South Carolina and North Dakota https://t.co/FAZuBE0OJP",Tue Jun 12 16:46:05 +0000 2018,0.0,0.0,1.0,0.0
98,The New York Times,"After meeting with Kim Jong-un, Trump answered questions about Otto Warmbier, war games and that iPad video https://t.co/nrFwVOw4ad",Tue Jun 12 16:31:08 +0000 2018,-0.5994,0.0,0.813,0.187
99,The New York Times,"If your waist measures 35 or more inches for women or 40 or more inches for men, chances are you're harboring a pot… https://t.co/hhaSKA6LZo",Tue Jun 12 16:16:02 +0000 2018,0.2023,0.076,0.924,0.0
100,Fox News,AT&amp;T prevails as Time Warner takeover gets OK from judge (via @FoxBusiness) https://t.co/KPPq5zpaMP,Tue Jun 12 20:56:15 +0000 2018,0.4466,0.196,0.804,0.0
101,Fox News,RT @FoxBusiness: #BreakingNews: Judge rules in favor of AT&amp;T-Time Warner merger. https://t.co/utmfUh2AUE https://t.co/vRzPGbXQkJ,Tue Jun 12 20:47:10 +0000 2018,0.4019,0.184,0.816,0.0
102,Fox News,JUST IN: Federal judge allows AT&amp;T-Time Warner deal https://t.co/KPPq5zpaMP https://t.co/LzHp8tWdEG,Tue Jun 12 20:46:47 +0000 2018,0.0,0.0,1.0,0.0
103,Fox News,Texas man's 28-pound 'monster' Bigmouth Buffalo catch could break state record https://t.co/ShF8St80wW,Tue Jun 12 20:42:21 +0000 2018,0.0,0.0,1.0,0.0
104,Fox News,".@RandPaul: “I think it's a good step for the world."" #Cavuto https://t.co/lkr9yxsVuW",Tue Jun 12 20:37:18 +0000 2018,0.4404,0.225,0.775,0.0
105,Fox News,".@POTUS: “We got along very well. We got along from the beginning.”

President @realDonaldTrump talks to… https://t.co/8zgG9451f1",Tue Jun 12 20:35:00 +0000 2018,0.3384,0.13,0.87,0.0
106,Fox News,"Former President George W. Bush posted this photo on Instagram Tuesday, as his father, former President… https://t.co/V7oJyAntIB",Tue Jun 12 20:31:07 +0000 2018,0.0,0.0,1.0,0.0
107,Fox News,.@RandPaul: “I would offer them the allure of trade with Japan and South Korea and us and expanded trade with China… https://t.co/LIYASMvDfy,Tue Jun 12 20:25:58 +0000 2018,0.0,0.0,1.0,0.0
108,Fox News,.@RandPaul: “I think it’s historic that President Trump has had this meeting.” #Cavuto https://t.co/lRKCzf60sW,Tue Jun 12 20:18:54 +0000 2018,0.0,0.0,1.0,0.0
109,Fox News,"RT @FoxBusiness: AT THE CLOSE: The Nasdaq finished the day at a new record close, its 19th record close this year.  The Dow Jones Industria…",Tue Jun 12 20:12:07 +0000 2018,0.0,0.0,1.0,0.0
110,Fox News,"World Cup 2018 teams to watch, from Germany to Iceland https://t.co/NCtJAZM7m0",Tue Jun 12 20:07:49 +0000 2018,0.0,0.0,1.0,0.0
111,Fox News,"JUST IN: Rosenstein threatened to 'subpoena' GOP-led committee in 'chilling' clash over records, emails show https://t.co/6ZgIvOz96A",Tue Jun 12 19:44:14 +0000 2018,-0.4588,0.0,0.833,0.167
112,Fox News,"Former Gov. Bill Richardson: ""[Kim Jong Un's] nation wants an opportunity, like all people, to get out of the doldr… https://t.co/FdhI0Bi3U8",Tue Jun 12 19:41:11 +0000 2018,0.6486,0.218,0.782,0.0
113,Fox News,".@POTUS: “We got a lot more done today than I ever thought possible.”

President @realDonaldTrump talks to… https://t.co/TNvgMrAMG5",Tue Jun 12 19:39:00 +0000 2018,0.0,0.0,1.0,0.0
114,Fox News,"Former Gov. Bill Richardson on #TrumpKimSummit: ""@SecPompeo needs to move in real quick...Seize on that momentum to… https://t.co/QBTye2OMGq",Tue Jun 12 19:36:27 +0000 2018,0.0,0.0,1.0,0.0
115,Fox News,"Former Gov. Bill Richardson on #TrumpKimSummit: ""I've been involved with this issue a long time and it's always bee… https://t.co/Mf8MaAkblN",Tue Jun 12 19:29:43 +0000 2018,0.0,0.0,1.0,0.0
116,Fox News,.@jasoninthehouse: @TheJusticeDept Will Hold Docs on @FBI Informant Until Congress 'Gets a Backbone'  #OutnumberedOT https://t.co/VOEF2E99JH,Tue Jun 12 19:21:41 +0000 2018,0.0,0.0,1.0,0.0
117,Fox News,Parents of Otto Warmbier are hopeful 'something positive' can come from Trump-Kim summit https://t.co/woY4mdgEPO https://t.co/GvBsVXTHpS,Tue Jun 12 19:14:48 +0000 2018,0.7845,0.347,0.653,0.0
118,Fox News,OPINION: Trump meets Kim and sets the stage for fundamental change in Asia -– Here's what his critics missed https://t.co/1z2EuJWFHI,Tue Jun 12 19:05:27 +0000 2018,-0.5267,0.0,0.804,0.196
119,Fox News,Eurosatory 2018: Huge wheeled military ATV swims and surprises https://t.co/25707QhaBi,Tue Jun 12 18:56:23 +0000 2018,0.4939,0.344,0.656,0.0
120,CNN,BREAKING: A federal judge has ruled that AT&amp;T can move forward with its $85 billion acquisition of Time Warner… https://t.co/Y1ZMi6UQBr,Tue Jun 12 20:54:11 +0000 2018,0.0,0.0,1.0,0.0
121,CNN,The FBI agent who unintentionally shot someone while dancing in a Denver bar has turned himself in to police and is… https://t.co/1qmOsYK2PV,Tue Jun 12 20:50:09 +0000 2018,0.0,0.0,1.0,0.0
122,CNN,"Bringing tamales and a whole team of volunteers, renowned chef José Andrés traveled to Guatemala four days after th… https://t.co/jrrtekHeZt",Tue Jun 12 20:40:06 +0000 2018,0.0,0.0,1.0,0.0
123,CNN,"RT @TheLeadCNN: Sen. Bob Menendez says Trump achieved ""very little"" at the summit: ""What we needed, and what we still need, is a methodical…",Tue Jun 12 20:38:34 +0000 2018,0.0,0.0,1.0,0.0
124,CNN,"A grandma irons her granddaughter's Pride flag, and the internet swoons https://t.co/FnX5jqmkjv https://t.co/X9vxweRg0x",Tue Jun 12 20:32:06 +0000 2018,0.34,0.179,0.821,0.0
125,CNN,"Canada's House of Commons voted to send a symbolic message to the United States, standing against President Donald… https://t.co/C3mbjRi6bT",Tue Jun 12 20:25:05 +0000 2018,0.4215,0.141,0.859,0.0
126,CNN,The case of the curiously compelling Dennis Rodman-Chris Cuomo interview | Analysis by @CillizzaCNN… https://t.co/iLLXlwPi8q,Tue Jun 12 20:18:04 +0000 2018,0.2263,0.128,0.872,0.0
127,CNN,"Folk singer Joni Mitchell wrote the song ""River"" while sitting by the South Saskatoon River in Canada. Now, a walkw… https://t.co/BPIsxnC9Jp",Tue Jun 12 20:15:00 +0000 2018,0.0,0.0,1.0,0.0
128,CNN,The French photographer at the center of a sexual harassment scandal that forced the postponement of this year's No… https://t.co/GabRGo0Yn5,Tue Jun 12 20:10:07 +0000 2018,-0.8555,0.0,0.63,0.37
129,CNN,Netflix is now worth more than Disney. It’s valued at around $160 billion. https://t.co/xm78Az7kwW https://t.co/ZR4YrQaGcc,Tue Jun 12 20:05:00 +0000 2018,0.5859,0.27,0.73,0.0
130,CNN,"Seattle's controversial new ""Amazon tax"" on employers passed just a month ago, but it could be repealed this week… https://t.co/wI56S9OwUP",Tue Jun 12 20:00:14 +0000 2018,-0.0129,0.068,0.861,0.071
131,CNN,"After his expletive-laden rant about President Trump, Robert De Niro apologizes - to Canadians… https://t.co/Zy5hXioA6v",Tue Jun 12 19:52:06 +0000 2018,0.0258,0.148,0.71,0.142
132,CNN,"RT @CNNnewsroom: At the end of his meeting with Kim Jong Un, President Trump ""pats him on the back and guides him out ... establishing domi…",Tue Jun 12 19:47:03 +0000 2018,0.0,0.0,1.0,0.0
133,CNN,A Florida police chief is accused of framing four crimes on a teen so he could claim a 100% burglary clearance rate… https://t.co/zmZDDkVeyj,Tue Jun 12 19:46:47 +0000 2018,-0.296,0.0,0.896,0.104
134,CNN,"RT @CNNnewsroom: ""The key question now is the details. What exactly is the president talking about? Will all training exercises (so called…",Tue Jun 12 19:44:48 +0000 2018,0.0,0.0,1.0,0.0
135,CNN,"It's been two years since their son and 48 others were killed in the Pulse massacre, but for Maria and Fred Wright,… https://t.co/lSa9A6yEdg",Tue Jun 12 19:40:08 +0000 2018,-0.4118,0.0,0.889,0.111
136,CNN,"Before celebrating a game-winning strikeout that led his team to the state tournament, this high school baseball pi… https://t.co/UppDKtVwx1",Tue Jun 12 19:35:00 +0000 2018,0.5719,0.179,0.821,0.0
